Date	mag_B	mag_I	mag_R	mag_V
29-Aug		13.09	13.21	14.01
30-Aug	14.96	13.15	13.2	13.78
31-Aug	15.08	13.04		13.93
22-Sep	15.11	12.85	13.06	13.88
23-Sep	15.11	12.82	13.02	13.9
24-Sep	15.08	12.82	13.03	13.9
25-Sep	15.08	12.85	13.01	13.9
26-Sep	15.15	12.88	13.04	13.93
27-Sep	15.16	12.89	13.15	13.96
28-Sep	15.12	12.89	13.06	13.91
29-Sep	15.18	12.92	13.07	13.93
3-Oct	15.15	12.9	13.07	13.98
4-Oct	15.23	13.03	13.21	14.13
5-Oct	15.26	13.19	13.39	14.14
7-Oct	15.08	12.85	13.05	14.01
9-Oct	15.26	12.88	13.08	13.98
10-Oct	15.18	12.9	13.1	13.99
11-Oct	15.24	12.98	13.22	13.84
12-Oct	15.28	12.88	13.04	14.02
15-Oct	15.33			14.19
21-Oct	15.21	12.88	13.06	13.95
24-Oct	15.28	13.15	13.18	14.04
27-Oct	15.2	12.94	13.18	14.01
2-Nov	15.48	13.16	13.68	14.24
5-Nov	15.29	13.27	13.51	14.13
20-Nov	17.85	14.14	13.9	14.51
23-Nov	15.23	12.9	13.11	14.01
26-Nov	15.35	12.93	13.13	14.08
13-Dec	15.41	13	13.18	14.16
19-Dec	15.53	13.03	13.25	14.24
22-Dec	15.52	13.13	13.21	14.18
25-Dec	15.37	13.4	13.34	14.31
31-Dec	12.46	14.51	15.08	16.81
5-Jan	15.47	13.06	13.19	14.25
8-Jan	16.28		14.46	14.51
17-Jan	16.88	13.06	13.58	15.02
25-Jan			17.53	
28-Jan			17.26	
13-May			13.25	14.84
23-May	18.03			14.7
27-May	16.41			14.88
3-Jun	16.49			14.66
5-Jun			13.34	14.91
