Date,mag_B,mag_I,mag_R,mag_V
8/29/17,Nan,13.09,13.21,14.01
8/30/17,14.96,13.15,13.2,13.78
8/31/17,15.08,13.04,Nan,13.93
9/22/17,15.11,12.85,13.06,13.88
9/23/17,15.11,12.82,13.02,13.9
9/24/17,15.08,12.82,13.03,13.9
9/25/17,15.08,12.85,13.01,13.9
9/26/17,15.15,12.88,13.04,13.93
9/27/17,15.16,12.89,13.15,13.96
9/28/17,15.12,12.89,13.06,13.91
9/29/17,15.18,12.92,13.07,13.93
10/3/17,15.15,12.9,13.07,13.98
10/4/17,15.23,13.03,13.21,14.13
10/5/17,15.26,13.19,13.39,14.14
10/7/17,15.08,12.85,13.05,14.01
10/9/17,15.26,12.88,13.08,13.98
10/10/17,15.18,12.9,13.1,13.99
10/11/17,15.24,12.98,13.22,13.84
10/12/17,15.28,12.88,13.04,14.02
10/15/17,15.33,Nan,Nan,14.19
10/21/17,15.21,12.88,13.06,13.95
10/24/17,15.28,13.15,13.18,14.04
10/27/17,15.2,12.94,13.18,14.01
11/2/17,15.48,13.16,13.68,14.24
11/5/17,15.29,13.27,13.51,14.13
11/20/17,17.85,14.14,13.9,14.51
11/23/17,15.23,12.9,13.11,14.01
11/26/17,15.35,12.93,13.13,14.08
12/13/17,15.41,13,13.18,14.16
12/19/17,15.53,13.03,13.25,14.24
12/22/17,15.52,13.13,13.21,14.18
12/25/17,15.37,13.4,13.34,14.31
12/31/17,12.46,14.51,15.08,16.81
1/5/18,15.47,13.06,13.19,14.25
1/8/18,16.28,Nan,14.46,14.51
1/17/18,16.88,13.06,13.58,15.02
1/25/18,Nan,Nan,17.53,Nan
1/28/18,Nan,Nan,17.26,Nan
5/13/19,Nan,Nan,13.25,14.84
5/23/19,18.03,Nan,Nan,14.7
5/27/19,16.41,Nan,Nan,14.88
6/3/19,16.49,Nan,Nan,14.66
6/5/19,Nan,Nan,13.34,14.91
